##NAMES=Gypsum
##RRUFFID=R060509
##IDEAL CHEMISTRY=Ca(SO_4_)·2H_2_O
##LOCALITY=Pierre Shale, Hermosa, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless tabular single crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction
##URL=https://www.rruff.net/odr/rruff_sample/R060509
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 5.6707 b: 15.199 c: 6.5215 alpha: 90 beta: 118.42 gamma: 90 volume: 494.32 crystal system: monoclinic
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=780

76.87793, 13170.06
78.80640, 12788.23
80.73486, 12647.10
82.66333, 12841.48
84.59180, 13218.89
86.52026, 13604.03
88.44873, 13995.31
90.37720, 14226.98
92.30566, 14065.91
94.23413, 13275.91
96.16260, 12369.07
98.09106, 11808.38
100.0195, 11392.18
101.9480, 11087.39
103.8765, 10933.44
105.8049, 11021.26
107.7334, 11099.58
109.6619, 11155.64
111.5903, 11136.09
113.5188, 10954.88
115.4473, 10614.56
117.3757, 10278.82
119.3042, 9835.030
121.2327, 9551.043
123.1611, 9467.063
125.0896, 9596.739
127.0181, 9962.466
128.9465, 10557.73
130.8750, 11211.60
132.8035, 12141.20
134.7319, 12815.36
136.6604, 12973.74
138.5889, 12911.65
140.5173, 12903.59
142.4458, 12947.35
144.3743, 13014.03
146.3027, 13393.29
148.2312, 13387.34
150.1597, 12723.47
152.0881, 11754.11
154.0166, 10669.09
155.9451, 9499.910
157.8735, 8536.284
159.8020, 7830.095
161.7305, 7277.562
163.6589, 6889.077
165.5874, 6646.688
167.5159, 6539.345
169.4443, 6558.773
171.3728, 6692.526
173.3013, 6961.271
175.2297, 7329.728
177.1582, 7881.815
179.0867, 8428.048
181.0151, 8978.157
182.9436, 9420.063
184.8721, 9528.918
186.8005, 9229.418
188.7290, 8802.297
190.6575, 8151.728
192.5859, 7546.965
194.5144, 7070.571
196.4429, 6716.337
198.3713, 6493.988
200.2998, 6406.919
202.2283, 6434.077
204.1567, 6575.899
206.0852, 6808.874
208.0137, 7205.922
209.9421, 7608.156
211.8706, 7984.192
213.7991, 8288.159
215.7275, 8319.822
217.6560, 8063.927
219.5845, 7702.157
221.5129, 7187.052
223.4414, 6690.408
225.3699, 6270.376
227.2983, 5917.272
229.2268, 5622.057
231.1553, 5387.653
233.0837, 5199.019
235.0122, 5063.879
236.9407, 4952.697
238.8691, 4861.383
240.7976, 4785.033
242.7261, 4724.039
244.6545, 4676.518
246.5830, 4634.855
248.5115, 4598.401
250.4399, 4573.473
252.3684, 4568.843
254.2969, 4564.483
256.2253, 4552.344
258.1538, 4537.667
260.0823, 4525.291
262.0107, 4515.557
263.9392, 4509.867
265.8677, 4507.898
267.7961, 4511.402
269.7246, 4525.229
271.6531, 4539.194
273.5815, 4548.347
275.5100, 4554.583
277.4385, 4558.979
279.3669, 4562.273
281.2954, 4574.222
283.2239, 4600.785
285.1523, 4627.800
287.0808, 4652.610
289.0093, 4676.563
290.9377, 4696.062
292.8662, 4716.958
294.7947, 4750.543
296.7231, 4797.677
298.6516, 4849.661
300.5801, 4901.485
302.5085, 4963.819
304.4370, 5038.848
306.3655, 5125.469
308.2939, 5230.846
310.2224, 5345.533
312.1509, 5453.591
314.0793, 5562.996
316.0078, 5627.747
317.9363, 5647.907
319.8647, 5623.778
321.7932, 5539.341
323.7217, 5423.303
325.6501, 5286.036
327.5786, 5138.520
329.5071, 5016.118
331.4355, 4927.476
333.3640, 4844.174
335.2925, 4758.051
337.2209, 4687.264
339.1494, 4641.555
341.0779, 4608.854
343.0063, 4581.167
344.9348, 4557.807
346.8633, 4536.778
348.7917, 4519.943
350.7202, 4503.237
352.6487, 4496.365
354.5771, 4491.425
356.5056, 4488.570
358.4341, 4485.713
360.3625, 4479.239
362.2910, 4472.486
364.2195, 4474.326
366.1479, 4476.091
368.0764, 4495.322
370.0049, 4494.265
371.9333, 4504.146
373.8618, 4527.077
375.7903, 4567.876
377.7188, 4628.356
379.6472, 4706.390
381.5757, 4800.636
383.5042, 4911.322
385.4326, 5030.586
387.3611, 5161.417
389.2896, 5284.814
391.2180, 5386.434
393.1465, 5498.932
395.0750, 5606.342
397.0034, 5755.806
398.9319, 5970.409
400.8604, 6266.167
402.7888, 6691.216
404.7173, 7233.159
406.6458, 8005.583
408.5742, 9028.188
410.5027, 10276.71
412.4312, 12150.08
414.3596, 13784.79
416.2881, 14899.87
418.2166, 15345.57
420.1450, 14599.97
422.0735, 12855.25
424.0020, 11171.82
425.9304, 9564.958
427.8589, 8241.059
429.7874, 7314.525
431.7158, 6601.244
433.6443, 6097.832
435.5728, 5734.073
437.5012, 5476.459
439.4297, 5310.229
441.3582, 5200.111
443.2866, 5143.417
445.2151, 5113.140
447.1436, 5106.943
449.0720, 5127.160
451.0005, 5168.926
452.9290, 5241.389
454.8574, 5342.806
456.7859, 5481.165
458.7144, 5662.047
460.6428, 5888.465
462.5713, 6176.644
464.4998, 6528.120
